algoritmo,feature,dataset,seed
MNB,WESG,user_reviews_g1,5
MNB,WESG,user_reviews_g2,1
MNB,WESG,user_reviews_g2,2
MNB,WESG,user_reviews_g2,3
MNB,WESG,user_reviews_g2,4
MNB,WESG,user_reviews_g2,5
MNB,WECBOW,user_reviews_g1,1
MNB,WECBOW,user_reviews_g1,2
MNB,WECBOW,user_reviews_g1,3
MNB,WECBOW,user_reviews_g1,4
MNB,WECBOW,user_reviews_g1,5
MNB,WECBOW,user_reviews_g2,1
MNB,WECBOW,user_reviews_g2,2
MNB,WECBOW,user_reviews_g2,3
MNB,WECBOW,user_reviews_g2,4
MNB,WECBOW,user_reviews_g2,5
GNB,TFIDF,user_reviews_g1,1
GNB,TFIDF,user_reviews_g1,2
GNB,TFIDF,user_reviews_g1,3
GNB,TFIDF,user_reviews_g1,4
GNB,TFIDF,user_reviews_g1,5
GNB,TFIDF,user_reviews_g2,1
GNB,TFIDF,user_reviews_g2,2
GNB,TFIDF,user_reviews_g2,3
GNB,TFIDF,user_reviews_g2,4
GNB,TFIDF,user_reviews_g2,5
GNB,BOW,user_reviews_g1,1
GNB,BOW,user_reviews_g1,2
GNB,BOW,user_reviews_g1,3
GNB,BOW,user_reviews_g1,4
GNB,BOW,user_reviews_g1,5
GNB,BOW,user_reviews_g2,1
GNB,BOW,user_reviews_g2,2
GNB,BOW,user_reviews_g2,3
GNB,BOW,user_reviews_g2,4
GNB,BOW,user_reviews_g2,5
GNB,WESG,user_reviews_g1,1
GNB,WESG,user_reviews_g1,2
GNB,WESG,user_reviews_g1,3
GNB,WESG,user_reviews_g1,4
GNB,WESG,user_reviews_g1,5
GNB,WESG,user_reviews_g2,1
GNB,WESG,user_reviews_g2,2
GNB,WESG,user_reviews_g2,3
GNB,WESG,user_reviews_g2,4
GNB,WESG,user_reviews_g2,5
GNB,WECBOW,user_reviews_g1,1
GNB,WECBOW,user_reviews_g1,2
GNB,WECBOW,user_reviews_g1,3
GNB,WECBOW,user_reviews_g1,4
GNB,WECBOW,user_reviews_g1,5
GNB,WECBOW,user_reviews_g2,1
GNB,WECBOW,user_reviews_g2,2
GNB,WECBOW,user_reviews_g2,3
GNB,WECBOW,user_reviews_g2,4
GNB,WECBOW,user_reviews_g2,5
SVM,TFIDF,user_reviews_g1,1
SVM,TFIDF,user_reviews_g1,2
SVM,TFIDF,user_reviews_g1,3
SVM,TFIDF,user_reviews_g1,4
SVM,TFIDF,user_reviews_g1,5
SVM,TFIDF,user_reviews_g2,1
SVM,TFIDF,user_reviews_g2,2
SVM,TFIDF,user_reviews_g2,3
SVM,TFIDF,user_reviews_g2,4
SVM,TFIDF,user_reviews_g2,5
SVM,BOW,user_reviews_g1,1
SVM,BOW,user_reviews_g1,2
SVM,BOW,user_reviews_g1,3
SVM,BOW,user_reviews_g1,4
SVM,BOW,user_reviews_g1,5
SVM,BOW,user_reviews_g2,1
SVM,BOW,user_reviews_g2,2
SVM,BOW,user_reviews_g2,3
SVM,BOW,user_reviews_g2,4
SVM,BOW,user_reviews_g2,5
SVM,WESG,user_reviews_g1,1
SVM,WESG,user_reviews_g1,2
SVM,WESG,user_reviews_g1,3
SVM,WESG,user_reviews_g1,4
SVM,WESG,user_reviews_g1,5
SVM,WESG,user_reviews_g2,1
SVM,WESG,user_reviews_g2,2
SVM,WESG,user_reviews_g2,3
SVM,WESG,user_reviews_g2,4
SVM,WESG,user_reviews_g2,5
SVM,WECBOW,user_reviews_g1,1
SVM,WECBOW,user_reviews_g1,2
SVM,WECBOW,user_reviews_g1,3
SVM,WECBOW,user_reviews_g1,4
SVM,WECBOW,user_reviews_g1,5
SVM,WECBOW,user_reviews_g2,1
SVM,WECBOW,user_reviews_g2,2
SVM,WECBOW,user_reviews_g2,3
SVM,WECBOW,user_reviews_g2,4
SVM,WECBOW,user_reviews_g2,5
XGB,TFIDF,user_reviews_g1,1
XGB,TFIDF,user_reviews_g1,2
XGB,TFIDF,user_reviews_g1,3
XGB,TFIDF,user_reviews_g1,4
XGB,TFIDF,user_reviews_g1,5
XGB,TFIDF,user_reviews_g2,1
XGB,TFIDF,user_reviews_g2,2
XGB,TFIDF,user_reviews_g2,3
XGB,TFIDF,user_reviews_g2,4
XGB,TFIDF,user_reviews_g2,5
XGB,BOW,user_reviews_g1,1
XGB,BOW,user_reviews_g1,2
XGB,BOW,user_reviews_g1,3
XGB,BOW,user_reviews_g1,4
XGB,BOW,user_reviews_g1,5
XGB,BOW,user_reviews_g2,1
XGB,BOW,user_reviews_g2,2
XGB,BOW,user_reviews_g2,3
XGB,BOW,user_reviews_g2,4
XGB,BOW,user_reviews_g2,5
XGB,WESG,user_reviews_g1,1
XGB,WESG,user_reviews_g1,2
XGB,WESG,user_reviews_g1,3
XGB,WESG,user_reviews_g1,4
XGB,WESG,user_reviews_g1,5
XGB,WESG,user_reviews_g2,1
XGB,WESG,user_reviews_g2,2
XGB,WESG,user_reviews_g2,3
XGB,WESG,user_reviews_g2,4
XGB,WESG,user_reviews_g2,5
XGB,WECBOW,user_reviews_g1,1
XGB,WECBOW,user_reviews_g1,2
XGB,WECBOW,user_reviews_g1,3
XGB,WECBOW,user_reviews_g1,4
XGB,WECBOW,user_reviews_g1,5
XGB,WECBOW,user_reviews_g2,1
XGB,WECBOW,user_reviews_g2,2
XGB,WECBOW,user_reviews_g2,3
XGB,WECBOW,user_reviews_g2,4
XGB,WECBOW,user_reviews_g2,5
